aback= आश्चरचकित होणे, थक्क होणे, दचकून जाणे
hotbed= रोप लवकर उगववीत म्हणून कृत्रिमरित्या उष्ण केलेली जमीन, , |
hot-blooded= संतापी, , |
hotchpotch= निरनिराळ्या पदार्थांचे मिश्रण, , |
hot cockles= आंधळ्या कोशिंबिरीसारखा एक खेळ, , |
hot cross bun= क्रॉसचि खुण असलेला केक , , |
hot dog= पावामध्ये घालून मिळणारा कबाबासारखा मांसाचा एक गरम पदार्थ, , |
hot fence= शेताभोवातालाचे विजेच्या तारांचे कुंपण, , |
hotfoot= शक्य तेवढ्या वेगाने , , |
hothead= शीघ्रकोपी व्यक्ती, , |
hothouse= हळवी नाजूक वनस्पती वाढवण्याकरिता केलेले उबदार हवायुक्त चाकगृह, , |
hot line= दोन देशांतील राज्याप्रमुखाना परस्परांशी थेट संपर्क साधण्यासाठी केलेली , , |
hotly= रागाने , , |
hotplate= स्वयंपाकाच्या शेगाडीवरील धातूचा पृष्ठभाग, , |
hotpot= झाकणाच्या भांड्यात , , |
hot potato= फार वादग्रस्त, , |
hot property= गुण , पैसा, |
hot seat= विद्युत खुर्ची, , |
hotshot= महत्वाचा, , |
hot spot= हिंसा, , |
hot spring= गरम पाण्याचा झरा, , |
hot stuff= महत्वाचा , लैंगिकदृष्ट्या उन्मादक , |
hot-tempered= शीघ्रकोपी, तापत, |
hot-water= कठीण , अवस्था, |
hound= वासावरून शिकार करणाऱ्या जातीचा शिकारी कुत्रा, , |
hour= तास, , |
houri= मुसलमानाच्या श्रद्धेनुसार स्वर्गातील सुंदर  , , |
hourly= दर तासाला, तासानुसार, |
house= घर, , |
house agent= घरे भाड्याने किंवा विकत घेऊन देणारा दलाल, , |
house arrest= घराबाहेर पडण्यास घातलेली बंदी, , |
houseboat= राहण्यासाठी आवश्यक सर्व सुविधा उपलब्ध असलेली नाव, , |
